"PlantID";"Genotype";"Treatment";"DAS";"Realtime";"side.geometry.vis.height.norm (mm)";"combined.geometry.vis.volume.iap.norm (voxel)"
"1116BA1008";"ZEA 3";"wet";28;28.4403714930556;802.221324717286;21089865.9247631
"1116BA1003";"ZEA 249";"wet";28;28.4412312268519;778.59450726979;31278891.8296201
"1116BA1055";"ZEA 3572";"dry";28;28.4501000462963;952.237710468776;45807662.2644493
"1116BA1007";"Athletico";"normal";28;28.4506912268519;1018.49757673667;51100645.2189115
"1116BA1084";"ZEA 3426";"dry";28;28.4513305092593;1259.49111470113;51982530.1740426
"1116BA1256";"ZEA 3348";"dry";28;28.4521906134259;973.424878836834;67876651.757138
"1116BA1245";"ZEA 3240";"dry";28;28.453048900463;824.757673667205;33860065.8407732
"1116BA1349";"ZEA 3555";"wet";28;28.4539053819444;1051.29771098563;53568170.8697686
"1116BA1278";"ZEA 701";"dry";28;28.4547624074074;727.342487883683;26915165.8210297
"1116BA1301";"ZEA 3303";"dry";28;28.4556176157407;509.612277867528;10528234.5228802
"1116BA1240";"Fernandez";"wet";28;28.4564997800926;1030.85621970921;54323004.5211661
"1116BA1286";"Athletico";"wet";28;28.4573566203704;996.324717285945;58581925.5185155
"1116BA1004";"Athletico";"normal";28;28.4582105787037;1178.02011378196;57245980.2632669
"1116BA1328";"ZEA 333";"normal";28;28.4590704976852;610.100869206451;25666631.5734403
"1116BA1001";"Athletico";"normal";28;28.4599141319444;1148.99030694669;44405963.260772
"1116BA1294";"ZEA 3455";"normal";28;28.4607599421296;875.976167322804;33882681.7554023
"1116BA1204";"Athletico";"wet";28;28.4616055787037;1111.55088852989;49051004.4947157
"1116BA1236";"ZEA 16";"normal";28;28.4624513888889;902.062058694502;47473150.5512681
